n,mean_tiles,mean_manhatan,std_tiles,std_manhatan
5,8.12,9.88,1.081,4.329
6,7.73,19.89,1.503,6.306
7,44.30,167.30,2.983,14.190
8,14.40,130.20,3.406,20.596
9,20.00,166.00,4.295,23.281
10,17.80,489.90,5.514,27.493
11,26.60,966.00,6.398,45.609
12,26.20,585.20,5.827,29.877
13,15.30,618.00,5.658,38.338
14,436.50,4645.40,53.244,75.260
15,243.50,7425.70,59.219,147.481
16,28.40,2890.00,5.948,59.996
17,273.20,7431.40,56.503,207.137
18,121.10,5848.50,31.374,148.017
19,31.10,4793.30,13.237,92.713
20,18.2,2923.90,8.638,53.919