n,misplaced tiles,manhattan dist
5,8,4
5,8,6
5,9,10
5,8,8
5,6,9
5,10,10
5,9,6
5,8,15
5,8,17
5,7,14
6,8,13
6,7,18
6,9,20
6,8,21
6,6,31
6,5,27
6,11,10
6,8,23
6,9,18
6,6,18
7,45,166
7,48,152
7,41,164
7,47,169
7,43,201
7,41,167
7,41,166
7,45,178
7,49,157
7,43,153
8,18,139
8,14,131
8,16,126
8,13,132
8,14,130
8,21,182
8,15,110
8,13,116
8,11,110
8,9,126
9,14,194
9,14,125
9,18,154
9,15,189
9,24,162
9,24,163
9,23,141
9,22,157
9,22,194
9,24,181
10,23,512
10,14,485
10,19,490
10,26,481
10,11,502
10,11,511
10,21,468
10,18,432
10,12,532
10,23,486
11,27,996
11,29,959
11,21,925
11,31,975
11,25,985
11,25,943
11,13,914
11,28,920
11,37,1067
11,30,976
12,28,586
12,27,607
12,23,613
12,27,588
12,19,585
12,35,536
12,21,532
12,20,618
12,26,606
12,36,581
13,11,614
13,14,640
13,13,626
13,27,650
13,9,515
13,23,641
13,11,608
13,15,625
13,13,635
13,17,626
14,431,4659
14,447,4623
14,448,4653
14,321,4489
14,432,4658
14,428,4583
14,440,4677
14,433,4669
14,545,4787
14,440,4656
15,256,7435
15,257,7122
15,159,7444
15,140,7242
15,291,7586
15,249,7436
15,248,7483
15,348,7621
15,235,7417
15,252,7471
16,17,2755
16,24,2908
16,26,2815
16,32,2933
16,27,2896
16,28,2920
16,35,2954
16,26,2925
16,31,2894
16,38,2900
17,278,7494
17,210,7182
17,276,7461
17,168,6952
17,280,7548
17,277,7497
17,296,7530
17,283,7490
17,387,7664
17,277,7496
18,123,5827
18,122,5846
18,122,5847
18,92,5711
18,125,5873
18,83,5674
18,111,5710
18,117,5910
18,201,6198
18,115,5889
19,36,4811
19,43,4849
19,25,4763
19,46,4829
19,41,4997
19,12,4726
19,47,4835
19,17,4687
19,16,4744
19,28,4692
20,7,2857
20,13,2969
20,24,2849
20,20,2906
20,12,2986
20,27,2868
20,14,2975
20,16,2978
20,13,2950
20,36,2901